;OBJECTID;LAND;BEZ;LOR;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1;112695;11;2;2050602;2018;1;15;4;3;6;4;0;0;1;1;0;0;0;1;803604,1562;5827580,738;13,4750178;52,51359681
2;112705;11;12;12304314;2018;1;11;2;3;2;6;0;0;1;0;0;0;0;0;790639,5854;5835009,589;13,29102205;52,58725906
3;112726;11;2;2040501;2018;1;9;3;3;6;4;0;0;1;1;0;0;0;0;799827,9618;5828733,523;13,42057818;52,52601854
4;112737;11;7;7020202;2018;1;17;2;3;6;7;2;0;1;1;0;0;0;0;795223,509;5823525,402;13,34828776;52,48184447
5;112747;11;3;3020209;2018;1;15;4;3;6;7;1;1;0;1;0;0;0;1;798261,3849;5835047,26;13,40322797;52,58347154
6;112770;11;10;10010206;2018;1;5;2;2;2;6;2;0;1;0;0;0;0;0;808320,0275;5832060,055;13,54844656;52,5510946
7;112792;11;4;4061757;2018;1;17;2;3;2;6;2;0;1;0;0;0;1;1;788961,8201;5823583,542;13,25639043;52,48571541
8;112805;11;3;3010104;2018;1;16;5;3;2;6;2;0;1;0;0;0;0;1;799543,5822;5840743,375;13,42725182;52,63382261
9;112820;11;1;1011303;2018;1;14;2;3;6;4;0;0;1;1;0;0;0;0;799255,9754;5827907,973;13,41142938;52,51893299
10;112837;11;12;12103218;2018;1;21;7;3;0;1;2;0;0;0;1;0;0;1;794735,9234;5833763,947;13,35020475;52,57388905
11;112848;11;1;1011303;2018;1;17;3;3;2;6;2;0;1;0;0;0;0;1;799698,6291;5828456,085;13,41842748;52,52360287
12;112862;11;7;7040403;2018;1;16;4;3;2;6;2;0;1;0;0;0;0;1;797300,7087;5822341,224;13,37773011;52,47010259
13;112892;11;3;3071639;2018;1;11;5;3;5;2;0;1;1;0;0;0;0;1;800551,721;5829808,492;13,43218628;52,53525526
14;112902;11;2;2050602;2018;1;8;2;3;5;2;0;1;1;0;0;0;0;0;803320,7292;5827627,446;13,47089659;52,51417313
15;112921;11;1;1011204;2018;1;19;4;3;5;7;2;1;1;0;0;0;0;1;798174,6913;5826939,978;13,39467345;52,51084845
16;112937;11;3;3061429;2018;1;6;5;3;5;2;2;0;1;0;0;0;0;0;801321,3169;5831010,369;13,44458831;52,54560285
17;112947;11;9;9020601;2018;1;18;4;2;5;3;2;1;1;0;0;0;0;1;806109,6297;5821644,404;13,50637217;52,45899296
18;112957;11;5;5020524;2018;1;15;1;3;5;3;0;0;1;0;0;0;0;0;783456,9675;5826649,548;13,17815056;52,51609207
19;112980;11;7;7040403;2018;1;13;3;3;3;6;0;0;1;0;0;1;0;0;797280,6469;5822341,794;13,37743615;52,47011861
20;112992;11;2;2040703;2018;1;11;7;3;6;4;0;1;0;1;0;0;0;0;801869,0006;5826509,17;13,44855444;52,50495533
21;113009;11;1;1011102;2018;1;8;3;3;5;3;0;1;1;0;0;0;0;1;796672,8095;5827413,591;13,3730303;52,5159128
22;113020;11;12;12304314;2018;1;7;6;3;0;7;1;0;0;0;1;0;0;1;790106,503;5836069,675;13,28410402;52,5970472
