Schlüssel;Identnummer;Detailnetzsegment;Straßenbezeichnung;Straßenname;Bezirk;Ortsteil;RVA-Typ;Typ;Länge [m];Benutzungspflicht
1;10-000415;58530025_58530021.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;26,00;ja
2;10-000039;60530006_60530009.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Radfahrerfurt Z 340;16,00;ja
3;10-000038;60530005_60530006.01;B1/B5;Alt-Mahlsdorf;Marzahn-Hellersdorf;Mahlsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;510,00;nein
4;10-000011;57530025_57530026.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;76,00;ja
5;10-000012;57530001_57530017.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radweg, baulich getrennt;192,00;ja
6;10-000013;57530017_57530006.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;38,00;ja
7;10-000014;57530015_57530017.02;-;Tychyer Straße;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;15,00;nein
8;10-000015;57530017_57530006.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;216,00;ja
9;10-000016;57530006_57530028.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;34,00;ja
10;10-000017;57530005_57530006.02;-;Apollofalterallee;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;20,00;nein
11;10-000018;57530005_57530006.02;-;Apollofalterallee;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;27,00;nein
12;10-000019;57530006_57530028.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;127,00;ja
13;10-000020;57530028_58530003.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;5,00;ja
14;10-000021;57530028_58530003.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;96,00;ja
15;10-000022;57530028_58530003.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;34,00;ja
16;10-000023;58530003_58530004.01;-;Am Brodersengarten;Marzahn-Hellersdorf;Biesdorf;Schutzstreifen;Schutzstreifen Z 340 ohne ruhenden Verkehr;14,00;nein
17;10-000024;58530003_58530011.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;79,00;ja
18;10-000025;58530003_58530011.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Radfahrerfurt Z 340;9,00;ja
19;10-000026;58530011_58530012.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, baulich unterschieden;270,00;ja
20;10-000027;58530011_58530012.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, ohne Trennung;8,00;ja
21;10-000028;58530012_58530013.01;B1/B5;Alt-Biesdorf;Marzahn-Hellersdorf;Biesdorf;Radwege;Geh-/Radweg, ohne Trennung;60,00;nein
22;10-000029;58530026_58530025.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;163,00;ja
23;10-000030;58530026_58530025.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;27,00;ja
46;11-000009;51530052_51530042.01;-;Schreiberhauer Straße;Lichtenberg;Rummelsburg;Radwege;Radweg, baulich getrennt;243,00;nein
24;10-000031;58530021_59530004.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;379,00;ja
25;10-000032;58530021_59530004.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;12,00;ja
26;10-000033;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;116,00;ja
27;10-000034;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, baulich unterschieden;53,00;ja
28;10-000035;59530005_59530006.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;38,00;ja
29;10-000036;59530007_59530045.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Geh-/Radweg, durch Markierung unterschieden;497,00;nein
30;10-000037;59530007_59530045.01;B1/B5;Alt-Kaulsdorf;Marzahn-Hellersdorf;Kaulsdorf;Radwege;Radfahrerfurt Z 340;28,00;nein
31;11-000005;51540012_51540042.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;175,00;ja
32;02-000004;51530006_51540012.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Radfahrerfurt Z 340;22,00;ja
33;02-000005;51530006_51540012.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;83,00;ja
34;02-000006;51530007_51530006.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;11,00;nein
35;02-000007;51530007_51530006.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;195,00;nein
36;02-000008;51530007_51530006.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;21,00;nein
37;02-000009;51530009_51530008.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;176,00;nein
38;02-000010;51530003_51530009.01;-;Neue Bahnhofstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;19,00;nein
101;11-000028;53500014_53500015.01;-;Blockdammweg;Lichtenberg;Karlshorst;Radfahrstreifen;Radfahrstreifen Z 295, ohne ruh.Verkehr;148,00;nein
39;02-000011;51530003_51530009.01;-;Neue Bahnhofstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;183,00;nein
40;02-000012;51530009_51530008.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;234,00;nein
41;02-000013;51530008_51530007.02;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;16,00;nein
42;02-000014;51530006_51540012.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Schutzstreifen;Schutzstreifen Z 340, mit ruh.Verkehr mit Begrenzung;410,00;ja
43;11-000006;51540012_51540042.01;-;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;Radwege;Geh-/Radweg, baulich unterschieden;92,00;ja
