Zählstelle;Beschreibung - Fahrtrichtung;Breitengrad;Längengrad;Installationsdatum
12-PA-SCH;Schwedter Steg;52,54883554;13,40036684;01.03.2012
02-MI-JAN-N;Jannowitzbrücke Nord;52,51393216;13,41783461;01.04.2015
02-MI-JAN-S;Jannowitzbrücke Süd;52,51394299;13,41761107;01.04.2015
13-CW-PRI;Prinzregentenstraße;52,48813558;13,33311991;01.04.2015
18-TS-YOR-O;Yorckstraße Ost;52,49193796;13,37347227;01.04.2015
18-TS-YOR-W;Yorkstraße West;52,49228000;13,37321000;01.04.2015
19-TS-MON;Monumentenstraße;52,48811700;13,36978500;01.05.2015
27-RE-MAR;Markstraße;52,55819000;13,36494350;01.05.2015
03-MI-SAN-O;Invalidenstraße Ost;52,52717690;13,37201589;01.06.2015
03-MI-SAN-W;Invalidenstraße West;52,52768602;13,37310486;01.06.2015
05-FK-OBB-O;Oberbaumbrücke Ost;52,50119887;13,44506049;01.06.2015
05-FK-OBB-W;Oberbaumbrücke West;52,50127561;13,44486737;01.06.2015
26-LI-PUP;Paul-und-Paula-Uferweg;52,50025000;13,47438000;01.06.2015
24-MH-ALB;Alberichstraße;52,49250000;13,55849000;01.07.2015
10-PA-BER-N;Berliner Straße Nord;52,56692362;13,41248937;01.05.2016
10-PA-BER-S;Berliner Straße Süd;52,56681286;13,41216649;01.05.2016
15-SP-KLO-S;Klosterstraße Süd;52,53330769;13,19848797;01.05.2016
15-SP-KLO-N;Klosterstraße Nord;52,53351245;13,19905274;01.06.2016
17-SK-BRE-O;Breitenbachplatz Ost;52,46676019;13,30916477;01.05.2016
17-SK-BRE-W;Breitenbachplatz West;52,46721544;13,30836008;01.05.2016
20-TS-MAR-N;Mariendorfer Damm Nord;52,43789423;13,38784530;01.05.2016
20-TS-MAR-S;Mariendorfer Damm Süd;52,43819206;13,38798692;01.05.2016
21-NK-MAY;Maybachufer;52,49300000;13,42900000;01.05.2016
23-TK-KAI;Kaisersteg;52,45727000;13,51870000;01.05.2016
06-FK-FRA-O;Frankfurter Allee Ost;52,51358400;13,47424200;01.06.2016
06-FK-FRA-W;Frankfurter Allee West;52,51379000;13,47441400;01.06.2016
06-CW-JU-O;Straße des 17. Juni Ost;52,51259000;13,32663000;27.07.2021
06-CW-JU-W;Straße des 17. Juni West;52,51313259;13,32684517;27.07.2021
02-MI-AL-W;Karl-Marx-Allee;52,52190716;13,41753602;16.12.2021
