"Planungsraum";"Modifikation"
"10010101 Marzahn West";"keine Änderung"
"10010102 Havemannstraße";"Teilung"
"10010203 Gewerbegebiet Bitterfelder Straße";"keine Änderung"
"10010204 Wuhletalstraße";"keine Änderung"
"10010205 Marzahn Ost";"keine Änderung"
"10010206 Ringkolonnaden";"Teilung"
"10010207 Marzahner Promenade";"Grenzanpassung nach Feindigitalisierung"
"10010308 Marzahner Chaussee";"Grenzanpassung nach Feindigitalisierung"
"10010309 Springpfuhl";"Grenzanpassung nach Feindigitalisierung"
"10010310 Alt-Marzahn";"Teilung"
"10010311 Landsberger Tor";"Grenzanpassung nach Feindigitalisierung"
"10020412 Alte Hellersdorfer Straße";"Grenzanpassung nach Feindigitalisierung"
"10020413 Gut Hellersdorf";"Teilung"
"10020414 Helle Mitte";"keine Änderung"
"10020415 Hellersdorfer Promenade";"keine Änderung"
"10020416 Böhlener Straße";"keine Änderung"
"10020517 Adele-Sandrock-Straße";"keine Änderung"
"10020518 Schleipfuhl";"keine Änderung"
"10020519 Boulevard Kastanienallee";"keine Änderung"
"10020620 Kaulsdorf Nord II";"Grenzanpassung nach Feindigitalisierung"
"10020621 Gelbes Viertel";"keine Änderung"
"10020622 Kaulsdorf Nord I";"Grenzanpassung nach Feindigitalisierung"
"10020623 Rotes Viertel";"keine Änderung"
"10030724 Oberfeldstraße";"Grenzanpassung nach Feindigitalisierung"
"10030725 Buckower Ring";"Grenzanpassung nach Feindigitalisierung"
"10030726 Alt-Biesdorf";"Grenzanpassung nach Feindigitalisierung"
"10030727 Biesdorf Süd";"keine Änderung"
"10040828 Kaulsdorf Nord";"keine Änderung"
"10040829 Alt-Kaulsdorf";"keine Änderung"
"10040830 Kaulsdorf Süd";"Grenzanpassung nach Feindigitalisierung"
"10040931 Mahlsdorf Nord";"keine Änderung"
"10040932 Alt-Mahlsdorf";"keine Änderung"
"10040933 Mahlsdorf Süd";"Teilung"
"11010101 Dorf Malchow";"Zusammenlegung"
"11010102 Dorf Wartenberg";"Zusammenlegung"
"11010103 Dorf Falkenberg";"keine Änderung"
"11010204 Falkenberg Ost";"keine Änderung"
"11010205 Falkenberg West";"keine Änderung"
"11010206 Wartenberg Süd";"Grenzanpassung nach Feindigitalisierung"
"11010207 Wartenberg Nord";"Grenzanpassung nach Feindigitalisierung"
"11010308 Zingster Straße Ost";"keine Änderung"
"11010309 Zingster Straße West";"keine Änderung"
"11010310 Mühlengrund";"keine Änderung"
"11020411 Malchower Weg";"keine Änderung"
"11020412 Hauptstraße";"keine Änderung"
"11020513 Orankesee";"keine Änderung"
"11020514 Große-Leege-Straße";"keine Änderung"
"11020515 Landsberger Allee";"keine Änderung"
"11020516 Weiße Taube";"keine Änderung"
"11030617 Hohenschönhausener Straße";"keine Änderung"
"11030618 Fennpfuhl West";"Teilung"
"11030619 Fennpfuhl Ost";"keine Änderung"
"11030720 Herzbergstraße";"Grenzanpassung nach Feindigitalisierung"
"11030721 Rüdigerstraße";"Teilung"
"11030824 Frankfurter Allee Süd";"Grenzanpassung nach Feindigitalisierung"
"11040925 Victoriastadt";"Grenzanpassung nach Feindigitalisierung"
"11040926 Weitlingstraße";"Teilung"
"11041022 Rosenfelder Ring";"Grenzanpassung nach Feindigitalisierung"
"11041023 Gensinger Straße";"Grenzanpassung nach Feindigitalisierung"
"11041027 Tierpark";"keine Änderung"
"11041128 Sewanstraße";"Teilung"
"11051229 Rummelsburg";"Grenzanpassung nach Feindigitalisierung"
"11051330 Karlshorst West";"keine Änderung"
"11051331 Karlshorst Nord";"keine Änderung"
"11051332 Karlshorst Süd";"keine Änderung"
"12103115 Breitkopfbecken";"keine Änderung"
"12103116 Hausotterplatz";"keine Änderung"
"12103117 Letteplatz";"keine Änderung"
"12103218 Teichstraße";"Grenzanpassung nach Feindigitalisierung"
"12103219 Schäfersee";"keine Änderung"
"12103220 Humboldtstraße";"Grenzanpassung nach Feindigitalisierung"
"12214125 Waldidyll/Flughafensee";"Teilung, Grenzanpassung durch Bezirk"
"12214126 Tegel Süd";"Grenzanpassung nach Feindigitalisierung"
"12214421 Reinickes Hof";"keine Änderung"
"12214422 Klixstraße";"keine Änderung"
"12214423 Mellerbogen";"keine Änderung"
"12214424 Scharnweberstraße";"Grenzanpassung durch Bezirk"
"12214527 Alt-Tegel";"keine Änderung"
